iter	Passed	Remaining
0	1	166
1	3	152
2	4	150
3	6	148
4	7	145
5	9	141
6	10	142
7	11	137
8	13	134
9	14	129
10	15	127
11	17	125
12	18	124
13	20	122
14	21	120
15	22	119
16	24	118
17	25	116
18	26	114
19	27	111
20	29	109
21	30	107
22	31	105
23	33	104
24	34	103
25	36	103
26	37	101
27	38	100
28	40	98
29	41	97
30	43	96
31	44	94
32	45	93
33	47	91
34	48	90
35	50	89
36	51	87
37	53	86
38	54	85
39	55	83
40	57	82
41	58	80
42	59	79
43	61	77
44	62	76
45	63	74
46	65	73
47	66	72
48	68	71
49	69	69
50	71	68
51	73	67
52	74	66
53	75	64
54	76	62
55	78	61
56	80	60
57	81	59
58	83	57
59	84	56
60	85	54
61	87	53
62	88	51
63	89	50
64	91	49
65	92	47
66	93	46
67	95	44
68	96	43
69	97	41
70	99	40
71	100	39
72	102	37
73	103	36
74	105	35
75	106	33
76	108	32
77	109	30
78	111	29
79	112	28
80	114	26
81	115	25
82	117	24
83	118	22
84	119	21
85	121	19
86	123	18
87	124	16
88	125	15
89	127	14
90	128	12
91	130	11
92	131	9
93	133	8
94	134	7
95	136	5
96	137	4
97	139	2
98	140	1
99	142	0
